,id,uuid,creationDate,lastChangeDate,birthYear,lastNegotiation,gender,educationId,driverLicenseTypes,hasVehicle,compensation,compensationCurrencyCode,roadTimeType,businessTripReadiness,workSchedules,employments,workExperience,workExperienceMonthCount,relocation,metroStationName,resumeSpecializations,relocationAreas,languageLevels
707,3216,3dc17d49-71d6-4e66-a830-4930c6de471c,2013-06-19,2020-12-02,1973.0,2020-12-02,1,1,['B'],1.0,,RUR,0,2,"[0, 1, 2]","[0, 1, 4]",3,150,0,Tehnologicheskij institut,"[237, 288, 320]",{},['12.34']
708,5647,3dc3a58c-c4c3-402f-993d-4243816a9da6,2012-10-30,2020-08-11,1982.0,2020-08-31,0,1,['B'],1.0,70000.0,RUR,1,2,[0],[0],3,199,0,Kirovskij zavod,"[65, 66, 149]",{},"['12.34', '8.57', '8.59']"
709,4200,3ded11a2-e23b-44a9-834c-ea7695c759a0,2015-04-02,2021-09-02,1985.0,2021-07-26,0,1,['B'],1.0,,,0,1,[0],[0],3,154,1,Chernyshevskaja,"[105, 345, 452]",[1],"['12.34', '10.57']"
710,4470,3e159432-36ee-4701-85ee-9447f1e2b6ff,2011-03-16,2020-10-25,1990.0,2020-10-25,1,3,['B'],0.0,,,0,1,[0],[0],3,109,1,Ploschad' Vosstanija,"[3, 246, 327]",{},"['12.34', '10.57', '7.58']"
711,4773,3e21c52c-bf41-41a6-b226-6ba013ef6622,2008-09-30,2017-01-29,1984.0,2017-01-25,1,1,{},,,,0,1,[0],[0],3,114,0,,"[319, 336]",{},"['12.34', '6.57']"
712,5715,3e272a2e-781a-464d-a1c3-7cc2f55086b9,2011-08-07,2018-08-01,1981.0,2018-10-05,1,1,[],,,,1,0,[0],[0],2,54,0,,[292],{},"['12.34', '6.57']"
713,5947,3e5e8ff5-ae71-40d6-bb6e-b9c6c6e0954d,2010-02-08,2019-04-24,1985.0,2010-11-16,0,8,"['B', 'C']",1.0,100000.0,RUR,0,0,[0],"[1, 0]",3,116,0,,"[17, 482]",{},['12.34']
714,3983,3e650aaf-ceb6-4794-9135-2d40f1016612,2011-06-22,2020-08-27,1983.0,2020-02-03,1,1,['B'],1.0,80000.0,RUR,1,1,"[3, 2]",[1],3,190,0,Chernaja rechka,"[8, 119, 209]",{},"['12.34', '8.57']"
715,4703,3eb17e74-fd13-4d5b-85e7-4c49a9d485a6,2011-08-10,2021-06-16,1982.0,2021-06-02,0,1,['B'],0.0,,,0,1,[0],[0],3,216,1,Chernaja rechka,"[142, 153, 451]",{},"['12.34', '8.57', '6.58']"
716,4510,3ec68e21-69c8-42fa-a923-19ed007a2cf1,2015-07-15,2021-04-20,1995.0,2020-11-27,0,2,[],0.0,65000.0,RUR,0,1,[0],[0],1,30,1,Leninskij prospekt,[245],"[113, 1001]","['12.34', '9.57']"
717,5824,3ecdac0c-b375-4cba-aa71-b1efbb56bb40,2015-05-20,2019-03-02,1969.0,2019-05-04,1,1,[],,,,0,0,[0],[0],3,291,1,Petrogradskaja,"[46, 164, 261]",{},"['12.34', '6.57']"
